"Text","Category"
"The Eiffel Tower is located in Paris.","fact"
"Chocolate is the best ice cream flavor.","opinion"
"Water boils at 100 degrees Celsius at sea level.","fact"
"Summer is better than winter.","opinion"
"The heart pumps blood through the body.","fact"
"Cats make better pets than dogs.","opinion"
"The Pacific Ocean is the largest ocean on Earth.","fact"
"Reading books is more enjoyable than watching movies.","opinion"
"Light travels faster than sound.","fact"
"Pizza is a healthier food option than salads.","opinion"
"Video games are a waste of time.","opinion"
"Photosynthesis is the process by which plants make their food.","fact"
"Nothing beats a beach vacation.","opinion"
"The human skeleton is made up of less than 206 bones.","fact"
"Social media platforms improve personal relationships.","opinion"
"The Great Wall of China is visible from space.","fact"
"Life is too short to learn German.","opinion"
"The speed of light in a vacuum is 299,792 kilometers per second.","fact"
"Venus is the second planet from the Sun.","fact"
"All natural disasters are preventable.","opinion"
"Alexander Hamilton was the first U.S. Secretary of the Treasury.","fact"
"The human body has four blood types: A, B, AB, and O.","fact"
"Real art requires real talent.","opinion"
"Traveling by plane is more dangerous than by car.","opinion"
"Bees can recognize human faces.","fact"
"Modern art isnâ€™t real art.","opinion"
"The Amazon rainforest produces 20% of the world's oxygen.","fact"
"A college degree guarantees a successful career.","opinion"
"The Great Pyramid of Giza was built by slaves.","fact"
"True love lasts forever.","opinion"
"Bats are blind.","fact"
"DNA is the blueprint for every living thing.","fact"
"There are more cells of bacteria in your body than human cells.","fact"
"Money can buy happiness.","opinion"
"Beauty is in the eye of the beholder.","opinion"
"Children learn better through play than strict education.","opinion"
"Oxygen is the most abundant element in the Earth's crust.","fact"
"People can change if they really want to.","opinion"
"Viruses can be treated with antibiotics.","fact"
"Wisdom comes only with age.","opinion"
